,price,surface,bedrooms,restrooms,location_name,tiene_ascensor,tiene_parking,tiene_piscina,tiene_terraza,es_costa,es_montana
426,475,58,2,1,A Coruña,1,0,0,0,1,0
427,750,80,3,2,A Coruña,1,0,0,0,1,0
428,400,90,3,1,A Coruña,0,0,0,1,1,0
429,400,65,2,1,A Coruña,0,0,0,0,1,0
430,575,86,3,1,A Coruña,1,0,0,0,1,0
431,460,90,3,2,A Coruña,1,0,0,0,1,0
432,450,90,3,2,A Coruña,1,0,0,0,1,0
433,550,101,3,2,A Coruña,1,0,0,0,1,0
434,350,85,2,1,A Coruña,0,0,0,0,1,0
435,325,29,1,1,A Coruña,0,0,0,0,1,0
436,475,105,4,2,A Coruña,1,0,0,0,1,0
439,600,75,3,1,A Coruña,0,0,0,0,1,0
440,600,80,3,1,A Coruña,0,0,0,0,1,0
441,650,80,3,1,A Coruña,0,0,0,0,1,0
442,800,90,4,2,A Coruña,0,0,0,0,1,0
444,1300,180,3,2,A Coruña,0,0,0,1,1,0
445,300,60,2,1,A Coruña,1,0,0,0,1,0
446,1200,175,3,3,A Coruña,0,0,0,0,1,0
447,900,81,3,2,A Coruña,1,0,0,0,1,0
448,1200,110,4,2,A Coruña,1,0,0,0,1,0
450,420,50,1,1,A Coruña,1,0,0,0,1,0
451,450,87,3,1,A Coruña,1,0,0,0,1,0
452,450,60,2,1,A Coruña,1,0,0,0,1,0
453,475,84,3,1,A Coruña,0,0,0,0,1,0
454,600,100,3,2,A Coruña,1,0,0,0,1,0
455,335,89,3,1,A Coruña,0,0,0,0,1,0
456,800,96,3,2,A Coruña,1,0,0,0,1,0
457,1300,300,4,3,A Coruña,0,0,0,0,1,0
458,600,70,2,1,A Coruña,1,0,0,0,1,0
459,400,70,3,1,A Coruña,0,0,0,0,1,0
460,350,75,2,1,A Coruña,0,0,0,0,1,0
461,330,40,1,1,A Coruña,0,0,0,0,1,0
462,340,45,2,1,A Coruña,0,0,0,0,1,0
463,550,90,3,1,A Coruña,0,0,0,0,1,0
466,500,90,3,2,A Coruña,0,0,0,0,1,0
467,470,90,2,2,A Coruña,1,0,0,0,1,0
468,280,30,1,1,A Coruña,0,0,0,0,1,0
469,510,80,2,1,A Coruña,1,0,0,0,1,0
470,800,135,4,2,A Coruña,0,0,0,1,1,0
471,550,65,1,1,A Coruña,0,0,0,0,1,0
472,600,95,4,2,A Coruña,1,0,0,0,1,0
473,895,150,3,2,A Coruña,0,0,0,0,1,0
474,340,65,2,1,A Coruña,0,0,0,0,1,0
475,900,120,4,2,A Coruña,1,0,0,0,1,0
476,400,84,3,1,A Coruña,0,0,0,0,1,0
477,400,60,2,1,A Coruña,0,0,0,0,1,0
478,2500,233,5,4,A Coruña,0,0,1,1,1,0
479,410,136,3,2,A Coruña,1,0,0,0,1,0
480,450,56,2,1,A Coruña,0,0,0,0,1,0
481,380,68,2,1,A Coruña,1,0,0,0,1,0
482,350,45,1,1,A Coruña,0,0,0,0,1,0
484,360,85,3,1,A Coruña,0,0,0,0,1,0
488,825,100,3,2,A Coruña,0,0,0,1,1,0
489,420,65,2,1,A Coruña,0,0,0,0,1,0
491,550,90,3,1,A Coruña,0,0,0,0,1,0
492,430,90,4,1,A Coruña,0,0,0,0,1,0
