id;title;status;release_date;revenue;runtime;adult;budget;imdb_id;original_language;original_title;genre;averageRating;year;nominees;awards;ROI
9387;Conan the Barbarian;Released;02/04/1982;79114085;129;FALSO;20000000;tt0082198;en;Conan the Barbarian;Adventure;69;1982.0;0.0;0.0;3.95570425
416477;The Big Sick;Released;30/03/2017;56303596;120;FALSO;5000000;tt5462602;en;The Big Sick;Comedy;75;2017.0;1.0;0.0;11.2607192
2757;Adaptation.;Released;06/12/2002;32801173;115;FALSO;19000000;tt0268126;en;Adaptation.;Comedy;76;2002.0;4.0;1.0;1.7263775263157894
451915;Beautiful Boy;Released;12/10/2018;7649973;121;FALSO;25000000;tt1226837;en;Beautiful Boy;Drama;74;2018.0;0.0;0.0;0.30599892
292431;Love;Released;06/07/2015;249083;134;FALSO;3000000;tt3774694;fr;Love;Drama;61;2015.0;0.0;0.0;0.08302766666666667
72387;Safe;Released;16/04/2012;40346186;94;FALSO;30000000;tt1656190;en;Safe;Action;65;2012.0;0.0;0.0;1.3448728666666667
9947;Elektra;Released;13/01/2005;56681566;97;FALSO;43000000;tt0357277;en;Elektra;Action;47;2005.0;0.0;0.0;1.3181759534883721
10996;Stuart Little 2;Released;19/07/2002;169956806;78;FALSO;120000000;tt0243585;en;Stuart Little 2;Family;55;2002.0;0.0;0.0;1.4163067166666667
480414;The Curse of La Llorona;Released;17/04/2019;122033739;93;FALSO;9000000;tt4913966;en;The Curse of La Llorona;Horror;53;2019.0;0.0;0.0;13.559304333333333
8914;Deep Blue Sea;Released;28/07/1999;164648142;105;FALSO;60000000;tt0149261;en;Deep Blue Sea;Action;59;1999.0;0.0;0.0;2.7441357
2330;Taxi;Released;08/04/1998;44500000;86;FALSO;8700000;tt0152930;fr;Taxi;Comedy;70;1998.0;0.0;0.0;5.114942528735632
16690;Return to Never Land;Released;14/02/2002;109862682;72;FALSO;20000000;tt0280030;en;Return to Never Land;Adventure;58;2002.0;0.0;0.0;5.4931341
134411;Snitch;Released;21/02/2013;42930462;112;FALSO;35000000;tt0882977;en;Snitch;Thriller;64;2013.0;0.0;0.0;1.2265846285714286
1281;Bean;Released;03/07/1997;251212670;89;FALSO;18000000;tt0118689;en;Bean;Comedy;65;1997.0;0.0;0.0;13.956259444444445
38745;Gulliver's Travels;Released;23/12/2010;237382724;85;FALSO;112000000;tt1320261;en;Gulliver's Travels;Family;49;2010.0;0.0;0.0;2.1194886071428574
7552;Fun with Dick and Jane;Released;21/12/2005;202026112;90;FALSO;100000000;tt0369441;en;Fun with Dick and Jane;Comedy;62;2005.0;0.0;0.0;2.02026112
325348;Hardcore Henry;Released;12/09/2015;14333790;96;FALSO;2000000;tt3072482;en;Hardcore Henry;Action;67;2015.0;0.0;0.0;7.166895
338;Good Bye, Lenin!;Released;13/02/2003;79384880;121;FALSO;4800000;tt0301357;de;Good Bye, Lenin!;Comedy;77;2003.0;0.0;0.0;16.538516666666666
